,source,active,quantity,quantity_annual,quantity_cumulative,cost,cost_annual,cost_cumulative,t_interval,consequence-cost
315,inspection_groundline,True,0.97,0.001056224921463688,10.935000000000002,48.5,0.05281124607318441,546.75,66.0,0.0
316,inspection_protection,False,,,,,,,66.0,0.0
317,inspection_protection,True,1.0,0.0010888916716120496,76.19999999999999,0.0,0.0,0.0,66.0,0.0
318,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0
319,pole_saver_rod,True,,,,,,,66.0,0.0
320,termite_treatment,False,,,,,,,66.0,0.0
321,termite_treatment,True,0.035,3.8111208506421745e-05,0.175,3.5000000000000004,0.003811120850642174,17.5,66.0,0.0
322,risk,False,,,,,,,69.0,0.0
323,risk,True,0.01,1.1095392638206985e-05,0.04,0.0,0.0,0.0,69.0,0.0
324,conditional_failure,False,,,,,,,69.0,0.0
325,conditional_failure,True,0.025,2.7738481595517464e-05,0.20000000000000012,87.5,0.09708468558431112,700.0,69.0,0.0
326,functional_failure,False,,,,,,,69.0,0.0
327,functional_failure,True,0.01,1.1095392638206985e-05,0.04,70.0,0.0776677484674489,280.0,69.0,0.0
328,inspection_groundline,False,,,,,,,69.0,0.0
329,inspection_groundline,True,0.96,0.0010651576932678706,10.174999999999999,48.0,0.053257884663393526,508.75,69.0,0.0
330,inspection_protection,False,,,,,,,69.0,0.0
331,inspection_protection,True,1.0,0.0011095392638206985,74.79,0.0,0.0,0.0,69.0,0.0
332,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0
333,pole_saver_rod,True,,,,,,,69.0,0.0
334,termite_treatment,False,,,,,,,69.0,0.0
335,termite_treatment,True,0.035,3.8833874233724454e-05,0.21500000000000002,3.5000000000000004,0.003883387423372445,21.5,69.0,0.0
336,risk,False,,,,,,,72.0,0.0
337,risk,True,0.005,5.529352568107801e-06,0.030000000000000002,0.0,0.0,0.0,72.0,0.0
338,conditional_failure,False,,,,,,,72.0,0.0
339,conditional_failure,True,0.025,2.7646762840539004e-05,0.2650000000000001,87.5,0.09676366994188651,927.5,72.0,0.0
340,functional_failure,False,,,,,,,72.0,0.0
341,functional_failure,True,0.005,5.529352568107801e-06,0.030000000000000002,35.0,0.0387054679767546,210.0,72.0,0.0
342,inspection_groundline,False,,,,,,,72.0,0.0
343,inspection_groundline,True,0.985,0.0010892824559172367,9.965,49.25,0.05446412279586183,498.25,72.0,0.0
344,inspection_protection,False,,,,,,,72.0,0.0
345,inspection_protection,True,1.0,0.0011058705136215601,75.13500000000002,0.0,0.0,0.0,72.0,0.0
